,Date,Open,High,Low,Close,Adj Close,Volume,Stock,Open Rolling Mean 50 days,Open Rolling Mean 200 days,Open Rolling Mean 10 days,Open Rolling Mean 40 days,rsi,MB,UB,LB,TR,ATR,macd,signal,di+,di-,adx,%K,%D,RSI_Strength,Bollinger_Strength,ADX_Strength,RM Signal,RM_Trend,MACD_Trend,ATR_Signal,ATR_Trend,ADX_Signal,ADX_Trend,Stochastic_Signal
0,2023-11-07,4214.0,4233.14990234375,4173.0,4208.7998046875,4208.7998046875,122172,ABB.NS,,,,,,,,,,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
1,2023-11-08,4239.0,4288.0,4218.0498046875,4275.5498046875,4275.5498046875,216669,ABB.NS,,,,,,,,,79.2001953125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
2,2023-11-09,4284.89990234375,4372.9501953125,4216.0,4310.5,4310.5,522498,ABB.NS,,,,,,,,,156.9501953125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
3,2023-11-10,4328.0,4382.9501953125,4223.0,4239.2998046875,4239.2998046875,640836,ABB.NS,,,,,,,,,159.9501953125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
4,2023-11-13,4235.89990234375,4307.85009765625,4202.5498046875,4262.75,4262.75,157036,ABB.NS,,,,,,,,,105.30029296875,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
5,2023-11-15,4292.7001953125,4304.9501953125,4252.0,4258.7998046875,4258.7998046875,95758,ABB.NS,,,,,,,,,52.9501953125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
6,2023-11-16,4285.0,4286.89990234375,4210.0498046875,4232.75,4232.75,130755,ABB.NS,,,,,,,,,76.85009765625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
7,2023-11-17,4242.0,4298.0,4215.75,4285.0498046875,4285.0498046875,121481,ABB.NS,,,,,,,,,82.25,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
8,2023-11-20,4316.0,4365.35009765625,4295.0,4347.0,4347.0,243547,ABB.NS,,,,,,,,,80.30029296875,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
9,2023-11-21,4393.9501953125,4429.89990234375,4335.0498046875,4345.2998046875,4345.2998046875,345900,ABB.NS,,,4283.14501953125,,,,,,94.85009765625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
10,2023-11-22,4360.10009765625,4375.64990234375,4220.2998046875,4234.39990234375,4234.39990234375,176385,ABB.NS,,,4297.755029296875,,,,,,155.35009765625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
11,2023-11-23,4250.0,4279.9501953125,4220.0,4260.5498046875,4260.5498046875,82762,ABB.NS,,,4298.855029296875,,,,,,59.9501953125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
12,2023-11-24,4265.0,4276.4501953125,4224.0,4262.35009765625,4262.35009765625,116246,ABB.NS,,,4296.8650390625,,,,,,52.4501953125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
13,2023-11-28,4289.0,4289.0,4195.5498046875,4255.25,4255.25,184551,ABB.NS,,,4292.9650390625,,51.09581969131897,4269.882045200893,4348.044339136546,4191.71975126524,93.4501953125,,,,,,,32.01636094432755,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
14,2023-11-29,4263.25,4274.2001953125,4231.64990234375,4244.0498046875,4244.0498046875,78223,ABB.NS,,,4295.700048828125,,49.14727936982277,4272.39990234375,4344.570760641487,4200.229044046013,42.55029296875,87.65885934846631,,,,,,20.695532233633156,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
15,2023-11-30,4256.0,4465.0,4234.10009765625,4419.75,4419.75,558962,ABB.NS,,,4292.030029296875,,69.07241725870543,4282.699916294643,4387.5086947262,4177.891137863086,230.89990234375,102.47020584474386,,,,,,83.20654399692661,45.30614572496244, ,,Invalid Value,,,Hold,Bullish,Bullish,Hold,Hold,Hold
16,2023-12-01,4449.0,4449.0,4375.7998046875,4387.25,4387.25,150704,ABB.NS,,,4308.430029296875,,64.07151959665066,4288.182059151785,4405.514554969183,4170.849563334387,73.2001953125,99.55088228233704,,,,,,71.14494576267501,58.34900733107826, ,Overbought,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bullish
17,2023-12-04,4419.75,4683.0,4419.10009765625,4630.75,4630.75,798523,ABB.NS,,,4326.205029296875,,77.32039636508267,4316.142787388393,4524.676640602935,4107.608934173852,295.75,118.49289915368585,,,,,,89.280956187431,81.21081531567754,Overbought,,Invalid Value,,,Hold,Bullish,Bullish,Hold,Hold,Hold
18,2023-12-05,4662.7001953125,4865.0498046875,4591.64990234375,4846.60009765625,4846.60009765625,860640,ABB.NS,,,4360.875048828125,,83.22550240225988,4357.84636579241,4698.596721719473,4017.0960098653472,273.39990234375,133.01449540098645,,,,,,97.24425585791636,85.89005260267413,Overbought,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
19,2023-12-06,4855.0,4885.4501953125,4721.75,4738.39990234375,4738.39990234375,248801,ABB.NS,,,4406.980029296875,,72.96916922099638,4392.103515625,4779.390363262458,4004.816667987542,163.7001953125,135.81525743158335,,,,,,78.68528631567622,88.40349945367454,Overbought,Overbought,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
20,2023-12-07,4750.0498046875,4790.25,4699.5498046875,4744.7998046875,4744.7998046875,177941,ABB.NS,,,4445.975,,73.17970659679416,4428.678501674107,4844.522487923372,4012.834515424842,90.7001953125,131.79637879291866,,,,,,79.61294231221106,85.18082816193454,Overbought,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
21,2023-11-07,1867.25,1872.0,1855.0,1860.5999755859375,1860.5999755859375,160739,ACC.NS,,,,,,,,,,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
22,2023-11-08,1869.0,1880.6500244140625,1852.0,1854.1500244140625,1854.1500244140625,189559,ACC.NS,,,,,,,,,28.6500244140625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
23,2023-11-09,1864.0,1864.0,1840.949951171875,1844.949951171875,1844.949951171875,223676,ACC.NS,,,,,,,,,23.050048828125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
24,2023-11-10,1844.0,1846.5,1818.0,1825.300048828125,1825.300048828125,259623,ACC.NS,,,,,,,,,28.5,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
25,2023-11-13,1838.5,1839.1500244140625,1815.0,1834.8499755859375,1834.8499755859375,361409,ACC.NS,,,,,,,,,24.1500244140625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
26,2023-11-15,1848.0,1858.9000244140625,1829.1500244140625,1836.3499755859375,1836.3499755859375,274781,ACC.NS,,,,,,,,,29.75,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
27,2023-11-16,1843.0,1853.800048828125,1835.4000244140625,1844.8499755859375,1844.8499755859375,215184,ACC.NS,,,,,,,,,18.4000244140625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
28,2023-11-17,1855.0,1874.300048828125,1842.949951171875,1848.25,1848.25,257285,ACC.NS,,,,,,,,,31.35009765625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
29,2023-11-20,1848.25,1858.4000244140625,1826.199951171875,1828.449951171875,1828.449951171875,170647,ACC.NS,,,,,,,,,32.2000732421875,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
30,2023-11-21,1832.0,1849.9000244140625,1830.0,1839.550048828125,1839.550048828125,187241,ACC.NS,,,1850.9,,,,,,21.4500732421875,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
31,2023-11-22,1842.050048828125,1847.3499755859375,1803.0,1815.25,1815.25,313236,ACC.NS,,,1848.3800048828125,,,,,,44.3499755859375,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
32,2023-11-23,1826.75,1826.75,1806.0,1819.699951171875,1819.699951171875,254690,ACC.NS,,,1844.1550048828126,,,,,,20.75,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
33,2023-11-24,1822.0,1829.0,1813.0,1820.5,1820.5,188206,ACC.NS,,,1839.9550048828125,,,,,,16.0,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
34,2023-11-28,1830.0,1891.5,1825.0,1869.0,1869.0,934618,ACC.NS,,,1838.5550048828125,,60.156671291639825,1838.6964198521205,1869.6448702106409,1807.7479694936,71.0,,,,,,,74.57627118644068,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
35,2023-11-29,1886.0,1887.1500244140625,1861.0999755859375,1871.800048828125,1871.800048828125,398562,ACC.NS,,,1843.3050048828125,,61.10620734621179,1839.4964250837054,1873.1307927495614,1805.8620574178494,26.050048828125,30.827047020595735,,,,,,77.74016816737289,, ,Overbought,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
36,2023-11-30,1871.800048828125,1891.0,1850.0,1875.550048828125,1875.550048828125,2698012,ACC.NS,,,1845.685009765625,,62.39864524455223,1841.0249982561384,1878.8662898285831,1803.1837066836936,41.0,31.87894617126903,,,,,,81.9774563029661,78.09796521892656, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
37,2023-12-01,1899.050048828125,1911.199951171875,1885.9000244140625,1900.25,1900.25,465342,ACC.NS,,,1851.2900146484376,,69.57106439301032,1844.9750017438616,1893.6301494908225,1796.3198539969007,35.64990234375,32.25505267095751,,,,,,89.87989268638295,83.19917238557397, ,Overbought,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
38,2023-12-04,1979.0,2031.800048828125,1950.0,2019.5,2019.5,1802093,ACC.NS,,,1863.6900146484375,,84.72263405100205,1858.846426827567,1959.790078829356,1757.9027748257781,131.550048828125,41.84147443640187,,,,,,94.6241056804298,88.82715155659294,Overbought,Overbought,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
39,2023-12-05,2023.0,2193.0,2013.75,2184.800048828125,2184.800048828125,3873194,ACC.NS,,,1881.1650146484376,,91.23657672177362,1883.8428606305804,2078.4751903933093,1689.2105308678515,179.25,54.72269405901115,,,,,,97.89744841746794,94.13381559476022,Overbought,,Invalid Value,,,Hold,Bullish,Bullish,Hold,Hold,Hold
40,2023-12-06,2201.0,2218.0,2114.0,2128.25,2128.25,1764074,ACC.NS,,,1918.0650146484375,,78.85023325778523,1904.692862374442,2133.9645433170363,1675.4211814318478,104.0,59.22035935090965,,,,,,78.37349397590361,90.29834935793379,Overbought,Overbought,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
41,2023-12-07,2143.949951171875,2153.550048828125,2118.60009765625,2141.550048828125,2141.550048828125,557975,ACC.NS,,,1948.2550048828125,,79.55330898589,1925.8857247488838,2182.3515368646586,1669.4199126331089,34.949951171875,57.05833584033721,,,,,,81.57832501882531,85.94975580406562,Overbought,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
